Study Name/Number,Race,Race Present,Ethnicity,Ethnicity Present,Study sample size,Gender/Sex,Sex Present,Male,Female,Unknown / Not Reported,Total N,Age,Age Present,Average/Median Age (years),Min Age (years),Max Age (years),Country/Region,Location ,Pre-existing conditions and/or Symptoms,Instruments used,Socioeconomic Status,Data Collected (differnent levels of),Date Study was Conducted/Published,Date Study Posted on PhysioNet,Field
"Pressure, flow, and dynamic thoraco-abdominal circumferences data for adults breathing under CPAP therapy: Dataset of pressure, flow, and dynamic abdominal and chest circumference for healthy people breathing with CPAP. Data was collected with PEEP settings of 0 (ZEEP), 4, and 8cmH2O at normal/resting, panting/short and deep/long breath patterns/rates.",X,0,X,0,30,15 M; 15 F,1,15,15,,30,19-37,1,,,,UK,University of Canterbury,healthy,"used inelastic band tape measures attached to rotary encoders capturing expansion and contraction, questionnaire",X,processed data includes time [s]; pressure [cmH2O]; flow [L/s]; tidal volume [L]; inspiratory start point indices; chest circumference [mm]; and abdominal circumference [mm],,,respiratory
Preterm Infant Cardio-Respiratory Signals Database: ECG and respiration recordings of ten preterm infants collected from a Neonatal Intensive Care Unit.,X,0,X,0,10,X,0,X,X,10,10,infants 9 3/7 to 34 2/7 weeks (mean: 31 1/7 weeks) and study weights of 843 to 2100 grams (mean: 1468 grams),1,,,,USA,University of Massachusetts Medical School,"preterm infants were spontaneously breathing room air and did not have any congenital or perinatal infection of the central nervous system, intraventricular hemorrhage of grade II or higher, and hypoxic-ischemic encephalopathy","Intellivue MP70, Philips Medical Systems",X,single channel 3 LED ECG,,,cardiorespiratory
"PTB Diagnostic ECG Database: ECGs obtained from 290 subjects using a non-commercial, prototype recorder developed at Physikalisch-Technische Bundesanstalt.",X,0,X,0,"549 records, 290 subjects","209 M - mean age 55.5; 81 F, mean age 61.6",1,209,81,,290,"age 17 to 87, mean 57.2; ages were not recorded for 1 female and 14 male subjects",1,,,,Germany,National Metrology Instituted of Germany,used for diagnostic purposes,"PTB prototype recorder - 14 ECG, 1 voltage, 1 respiration",X,"15 simultaneously measured signals: the conventional 12 leads (i, ii, iii, avr, avl, avf, v1, v2, v3, v4, v5, v6) together with the 3 Frank lead ECGs (vx, vy, vz)",,,cardiac_electrophysiology
"PTB-XL, a large publicly available electrocardiography dataset: The PTB-XL ECG dataset is a large dataset of 21801 clinical 12-lead ECGs from 18869 patients of 10 second length. The raw signal data has been annotated by up to two cardiologists with 71 different ECG statements and is supplemented by rich metadata.",X,0,X,0,"18869 patients, 21799 ECG recordings",52% M; 48% F,1,9812,9057,,18869,"0-95 (median 62, IQR 22)",1,,,,Germany,"collected from October 1989 and June 1996, adapted from Schiller AG - Germany: Physikalisch-Technische Bundesanstalt",patients seeing a cardiologist,12 led ECG,X,ECG,,,cardiac_electrophysiology
Pulse Amplitudes from electrodermal activity collected from healthy volunteer subjects at rest and under controlled sedation: This database of pulse times and amplitudes from electrodermal activity was collected from 11 healthy volunteer subjects who were awake and at rest and 11 (different) healthy volunteer subjects who were under controlled propofol sedation.,X,0,X,0,12,X,0,X,X,22,22,22-34,1,,,,USA,MIT,healthy,"BedMaster system, electrodes placed on non-dominant hand",X,EDA,,,skin_electrical
"Pulse Transit Time PPG Dataset: Time synchronised multi-site PPG dataset for PTT including sensors’ attachment pressures, temperatures, inertial data from accelerometer and gyroscope, annotated ECG data, blood pressures, as well as blood oxygenation saturation levels (SpO2)",X,0,X,0,22,16 M; 6 F,1,16,6,,22,ages from 20 to 53 with a mean of 28.52 years,1,,,,Australia,University of Sydney,healthy,"used Maxim Integrated MAX30101 PPG, 2x TAL221100g miniature load cells, 1x TDK - InvenSenseMPU-9250 IMU, 1x AD8232 ECG amplifier ECG",X,"PPG, ECG, activity",,,multi_parameter
"** QT Database: One hundred two-lead ECG recordings, many extracted from other databases, with onset, peak, and end markers for P, QRS, T, and U waves.",X,0,X,0,14,8 M; 6 F,1,8,6,,14,67.5,1,,,,USA,X,,,X,ECG,,,cardiac_electrophysiology
"Quantitative Dehydration Estimation: Quantitative estimation of dehydration (total body water loss) using bioimpedance measurements, temperature measurements, salivary samples, and sweat samples.",X,0,X,0,10,10 M,1,10,0,,10,mean 25.5,1,,,,Germany,X,volunteers,,X,"collected bioimpedance measurements, temperature measurements, salivary samples, and sweat samples",,,other
"** Recordings excluded from the NSR DB: The recordings in this collection were originally selected for inclusion in the MIT-BIH Normal Sinus Rhythm Database, but were excluded after study revealed low-grade arrhythmias.",X,0,X,0,2,2 M,1,2,0,,2,59,1,59,57,61,USA,,,,,,,,cardiac_electrophysiology
"Response to Valsalva Maneuver in Humans: Functional metrics of autonomic control of heart rate, including baroreflex sensitivity, have been shown to be strongly associated with cardiovascular risk. A decrease in baroreflex sensitivity with …",X,0,X,0,27,13 M; 14 F,1,13,14,,27,mean 39.8,1,,,,USA,University of Michigan,"found histories positive for inherited cardiomyopathy, valvular disease, aneurism, dissection, vascular surgery, pulmonary hypertension, connective tissue disease, or stroke","Finapres blood pressure monitor, Valsalva maneuvers ",X,"BP, thoracic pressure",,,multi_parameter
RR interval time series from healthy subjects: This database contains RR intervals time series from healthy subjects aged between 1month and 55 years,X,0,X,0,147,"72 M; 67 F, 8 unknown",1,72,67,,8,"71 <1 YO, 10 > 18 YO",1,,,,Argentina,National University of La Plata,healthy individuals,"24 hours using digital three-channel DMS300 7 and DMS300 3A recorders, and Galix recorders, using 3M electrodes",X,"HRV, Holter recording",,,cardiac_electrophysiology
Safety and Preliminary Efficacy of Intranasal Insulin for Cognitive Impairment in Parkinson Disease and Multiple System Atrophy: Dataset collected as part of a study that aimed to determine the effects of intranasal insulin on cognition and motor performance in Parkinson's disease.,X,0,X,0,16 subjects,11 M; 5 F,1,11,5,,16,54.9,1,,,,USA,Massachusetts ,Parkinson's Disease,insulin injections,X,"4 meter walk distance, motor skills, mental clarity, MoCA = the Montreal Cognitive Assessment, HY = Hoehn and Yahr Scale, BDI = Beck Depression Inventory, FAS = phonemic fluency and verbal memory, UPDRS= Unified Parkinson Disease Scale I-III, SBP= systolic blood pressure, DBP= diastolic blood pressure",,,multi_parameter
Samples of MR Images: These magnetic resonance angiography (MRA) images show coronal slices acquired from consecutive anteroposterior positions within the torso. The study was performed on a 1.5T General Electric (GE) Sig…,X,0,X,0,76 frames,X,0,X,X,,X,X,0,,,,X,X,X,used 1.5T General Electric (GE) Signa imaging system with gadolinium-contrast-enhancement for visualization of the cardiopulmonary vasculature,X,MRA of the torso,,,radiology
"Santa Fe Time Series Competition Data Set B: This is a multivariate data set recorded from a patient in the sleep laboratory of the Beth Israel Hospital (now the Beth Israel Deaconess Medical Center) in Boston, Massachusetts. This data set was …",X,0,X,0,X,X,0,X,X,,X,X,0,,,,USA,"Beth Israel Hospital, Boston, MA",,,X,"heart rate, respiration, blood oxygen, EEG",,,cardiorespiratory
Shiraz University Fetal Heart Sounds Database: The Shiraz University (SU) fetal heart sounds database (SUFHSDB) contains fetal and maternal phonocardiogram (PCG) recordings from 109 pregnant women in single and twin pregnancies.,X,0,X,0,"109 women, 119 recordings",109 F,1,0,109,,109,"16 to 47 years, mean±SD: 29.3±5.8",1,,,,Iran,"Shiraz, Iran","single and twin pregnancy, BMI from 19.5 to 38.9 mean±SD: 29.2±4.0",wide band mode of JABES electronic stethoscope,X,"PCG, heart sounds of mother",,,cardiovascular
Siena Scalp EEG Database: The database consists of EEG recordings of 14 epileptic patients acquired at the Unit of Neurology and Neurophysiology of the University of Siena. Subjects include 9 males (ages 25-71) and 5 females (ages 20-58).,X,0,X,0,"17, 128 hours",11 M; 6 F,1,11,6,,17,mean 35.8,1,,,,Italy,"University of Siena, Italy",,"used EB Neuro and Natus Quantum LTM amplifiers, and reusable silver/gold cup electrodes",X,EEG in EDF format,,,neuroelectric
Simulated Fetal Phonocardiograms: This data set is a series of synthetic fetal phonocardiographic signals (PCGs) relative to different fetal states and recording conditions.,X,0,X,0,X,X,0,X,X,,X,X,0,,,,Italy,X,,,,data includes signals simulated with different SNR values from -26.7 dB to -4.4 dB,,,synthetic
"Simultaneous physiological measurements with five devices at different cognitive and physical loads: Dataset to support comparison of usability and accuracy from simultaneous measurements collected from 13 subjects including five devices: NeXus-10 MKII, eMotion Faros 360°, Hexoskin Hx1, SOMNOTouch NIBP, Polar RS800 Multi.",X,0,X,0,X,X,0,6,7,,13,X,0,,,,Germany,"Technical University of Dortmund, germany",,"used NeXus-10 MKII, eMotion Faros 360°, SOMNOtouch NIBP, Hexoskin Hx1, Polar RS800 Multi",,,,,cardiorespiratory
"Sleep Bioradiolocation Database: The database contains 32 records of non-contact sleep monitoring by a bioradar. The records are accompanied by results of sleep scoring, based on polysomnography according to the rules of the America…",X,0,X,0,32,12 M; 20 F,1,12,20,,32,44.21875,1,,,,Russia,Moscow,insomnia (potentially),bioradar developed by Remote Sensing Laboratory of Bauman Moscow State Technical University,X,"bioradiolocation signals, annotations based on sleep/wake stage",,,other
Ethnicity Present,X,0,X,0,6441 adults,X,0,X,X,,X,>=40,1,,,,USA,"the Framingham Offspring Cohort, Hagerstown and Minneapolis/St. Paul sites of the Atherosclerosis Risk in Communities (ARIC) study, Hagerstown, Sacramento and Pittsburgh sites of the Cardiovascular Health Study (CHS), Strong Heart Study sites in South Dakota, Oklahoma, and Arizona, studies of respiratory disease in Tucson and of hypertension in New York",cardiovascular risk factors determined from previous cohorts of data,"C3/A2 and C4/A1 EEGs, sampled at 125 Hz
right and left electrooculograms (EOGs), sampled at 50 Hz
a bipolar submental electromyogram (EMG), sampled at 125 Hz
thoracic and abdominal excursions (THOR and ABDO), recorded by inductive plethysmography bands and sampled at 10 Hz
“airflow” detected by a nasal-oral thermocouple (Protec, Woodinville, WA), sampled at 10 Hz
finger-tip pulse oximetry (Nonin, Minneapolis, MN) sampled at 1 Hz
ECG from a bipolar lead, sampled at 125 Hz for most SHHS-1 studies and 250 Hz for SHHS-2 studies
Heart rate (PR) derived from the ECG and sampled at 1 Hz
body position (using a mercury gauge sensor)
ambient light (on/off, by a light sensor secured to the recording garment)
",X,"C3/A2 and C4/A1 EEGs, sampled at 125 Hz
right and left electrooculograms (EOGs), sampled at 50 Hz
a bipolar submental electromyogram (EMG), sampled at 125 Hz
thoracic and abdominal excursions (THOR and ABDO), recorded by inductive plethysmography bands and sampled at 10 Hz
“airflow” detected by a nasal-oral thermocouple (Protec, Woodinville, WA), sampled at 10 Hz
finger-tip pulse oximetry (Nonin, Minneapolis, MN) sampled at 1 Hz
ECG from a bipolar lead, sampled at 125 Hz for most SHHS-1 studies and 250 Hz for SHHS-2 studies
Heart rate (PR) derived from the ECG and sampled at 1 Hz
body position (using a mercury gauge sensor)
ambient light (on/off, by a light sensor secured to the recording garment)
",,,multi_parameter
Smart Health for Assessing the Risk of Events via ECG Database: Holter recordings of 139 hypertensive patients recruited at the Centre of Hypertension of the University Hospital of Naples Federico II.,X,0,X,0,139,90 M; 49 F,1,90,49,,139,">=55, 72-7",1,,,,Italy,"Naples, Italy",hyptertension,X,X,"ECG Holter recordings, HRV",,,cardiac_electrophysiology
"Spontaneous Ventricular Tachyarrhythmia Database: RR interval time series, recorded by implanted cardioverter defibrillators in 78 subjects.",X,0,X,0,78,15; 63,1,63,15,,78,N,1,,,,USA,X,at least one VT/VF episode,,,,,,cardiac_electrophysiology
"** STAFF III Database: The STAFF III database was acquired during 1995-96 at Charleston Area Medical Center (WV, USA) where single prolonged balloon inflation had been introduced to achieve optimal results of percutaneous …",X,0,X,0,108,nested,1,X,X,,X,N,1,,,,USA,,,custom made equipment from Siemens–Elema ,X,12 LED ECG data,,,cardiac_electrophysiology
St Petersburg INCART 12-lead Arrhythmia Database: Annotated ECG recordings extracted from 32 Holter records.,X,0,X,0,32,17 M; 15 F,1,17,15,,32,18-80; mean 58,1,,,,Russia,"St. Petersburg, Russia","testing for coronary artery disease, most had ventricular ectopic beats",,X,ECG,,,cardiac_electrophysiology
"Stress Recognition in Automobile Drivers: This database, contributed to PhysioNet by its creator, Jennifer Healey, contains a collection of multiparameter recordings from healthy volunteers, taken while they were driving on a prescribed rout…",X,0,X,0,X,X,0,X,X,,X,X,0,,,,USA,X,X,"electrodes, FlexComp ADC",X,"electrocardiogram (EKG); electromyogram (EMG); skin conductivity (also known as EDA, electrodermal activation, and galvanic skin response); and respiration (through chest cavity expansion)",,,multi_parameter
"St. Vincent's University Hospital / University College Dublin Sleep Apnea Database: Overnight polysomnograms with simultaneous three-channel Holter ECG, from 25 adult subjects with suspected sleep-disordered breathing.",X,0,X,0,25,21 M; 4 F,1,21,4,,25,"50 ± 10 years, range 28-68 years",1,,,,Ireland,"St Vincent's University Hospital, Dublin","BMI: 31.6 ± 4.0 kg/m², range 25.1-42.5 kg/m²","Jaeger-Toennies system (Erich Jaeger GmbH, Germany)",X,"EEG (C3-A2), EEG (C4-A1), left EOG, right EOG, submental EMG, ECG (modified lead V2), oro-nasal airflow (thermistor), ribcage movements, abdomen movements (uncalibrated strain gauges), oxygen saturation (finger pulse oximeter), snoring (tracheal microphone) and body position",,,multi_parameter
Sudden Cardiac Death Holter Database: PhysioNet has inaugurated a Sudden Cardiac Death Database to support research and to stimulate progress in this important area of electrophysiology. We initiate this database with 23 complete Holter …,X,0,X,0,18,10 M; 8 F,1,10,8,,18,17-82,1,,,,USA,X,underlying sinus rhythm,X,X,,,,cardiac_electrophysiology
"Surface electromyographic signals collected during long-lasting ground walking of young able-bodied subjects: The dataset is composed of long-lasting surface electromyographic (sEMG) signals recorded from ten muscles during ground walking of 31 young able-bodied subjects in Movement Analysis Lab, Università Politecnica delle Marche, Ancona, Italy.",X,0,X,0,31,"11 M, 20 F",1,11,20,,31,X,0,,,,Italy,"Ancona, Italy; 2011-2018",X,X,X,,,,myoelectric
"Surrogate Data with Correlations, Trends, and Nonstationarities: Data collected for a study on a scaling analysis method used to estimate long-range power-law correlation exponents in noisy signals.",X,0,X,0,28,X,0,X,X,,X,X,0,,,,X,X,,,X,,,,synthetic
"Tai Chi, Physiological Complexity, and Healthy Aging - Gait: This project includes gait data collected with footswitches and electromyography data from subjects who walked for 10 minutes under normal conditions and for 90 seconds under dual-task conditions (walking while performing serial subtractions).",X,0,X,0,87,6,1,33,54,,X,64.29,1,,,,USA,Greater Boston,,,X,,,,gait/balance/motion
Tappy Keystroke Data: This is the keystroke dataset for the study titled 'High-accuracy detection of early Parkinson's Disease using multiple characteristics of finger movement while typing'. This research report is curre…,X,0,X,0,>200,X,0,123,104,,227,X,0,,,,X,"U.S., Canada, UK and Australia",Parkinson's Disease,,X,,,,other
Term-Preterm EHG Database: Electrohysterogram records during regular check-ups at the University Medical Centre Ljubljana between 1997 and 2005.,X,0,X,0,300,F,1,0,300,,300,X,0,,,,Slovenia,"University Medical Centre Ljubljana, 1997-2005",,,X,,,,myoelectric
Term-Preterm EHG DataSet with Tocogram: Electrohysterogram signals accompanied by a simultaneously recorded external tocogram.,X,0,X,0,31,F,1,0,31,,31,X,0,,40,,Slovenia,X,,,X,,,,myoelectric
"The CirCor DigiScope Phonocardiogram Dataset: A large collection of multi-location heart sound signals, with 5272 records collected from 1568 subjects. Heart murmurs have been annotated by a human annotator based on their time, shape, pitch, grading, quality, location and location intensity.",X,0,X,0,1568,486 F,1,1082,486,,1568,0-21; 6.1 +/- 4.3,1,,,,Brazil,"Northeast Brazil, July - August 2014, June - July 2015",X,X,X,,,,cardiovascular
"Treadmill Maximal Exercise Tests from the Exercise Physiology and Human Performance Lab of the University of Malaga: Cardiorespiratory measurements of 992 treadmill maximal graded exercise tests. Heart rate, oxygen consumption, carbon dioxide generation, and pulmonary ventilation are provided.",X,0,X,0,992,843 M; 149 F,1,843,149,,992,10-63; mean = 28.979,1,,,,Spain,X,X,X,X,,,,cardiorespiratory
T-Wave Alternans Challenge Database: Multichannel ECG records collected for the 2008 Computers In Cardiology Challenge.,X,0,X,0,X,X,0,X,X,,60,X,0,,,,USA,X,,,X,,,,cardiac_electrophysiology
"Two-tiered response of cardiorespiratory-cerebrovascular networks to orthostatic challenge: Dataset comprising the following physiological signals: blood pressure, respiratory rate, blood flow velocity in the middle cerebral arteries and tissue hemoglobin concentration in the prefrontal cortex.",X,0,x,0,10,5 M;  5 F,1,5,5,,10,26.3 +/- 3.7 years,1,,,,Hungary,Semmelweis University,none,,X,,,,multi_parameter
UniCA ElectroTastegram Database (PROP): Differential biopotential measurements recorded from the tongues of 39 healthy voluntary human subjects.,X,0,X,0,39,16 M; 23 F,1,16,23,,39,X,0,,,,Italy,X,X,X,X,,,,myoelectric
Video Pulse Signals in Stationary and Motion Conditions: Pulse signal recordings obtained from 15 healthy volunteers.,X,0,X,0,15,12 M; 3 F,1,12,3,,15,25-35,1,,,,Spain,X,X,X,X,,,,other
"VitalDB, a high-fidelity multi_parameter vital signs database in surgical patients: VitalDB, a high-fidelity multi_parameter vital signs database in surgical patients",X,0,X,0,6388,,1,3243,3145,,6388,57.25,1,,,,South Korea,"Seoul, Aug 2016-Jun 2017",X,X,X,,,,multi_parameter
"** VOICED Database: This database includes 208 voice samples, from 150 pathological, and 58 healthy voices.",X,0,X,0,208,,1,135,73,,208,44.09,1,,,,Italy,X,X,X,X,,,,other
Wearable-based signals during physical exercises from patients with frailty after open-heart surgery: A data collection contains a wearable-based electrocardiogram and triaxial acceleration signals of 80 elderly patients with frailty after an open-heart surgery. The signals were collected while the patients were performing a series of exercise tests.,X,0,X,0,80,63 M; 27 F,1,63,27,,80,>= 65,1,,,,Lithuania,X,elderly patients who entered a cardiac rehab program after open heart surgery,Polar H10 (wearable device),X,,,,multi_parameter
Wilson Central Terminal ECG Database: Wilson Central Terminal ECG signals recorded from 92 patients.,X,0,X,0,92,65 M; 27 F,1,65,27,,92,"mean = 65.23, SD = 12.12",1,,,,Australia,X,X,tested Wilson Central Terminal,X,,,,cardiac_electrophysiology
"Wrist PPG During Exercise: Photoplethysmogram recorded from 8 volunteers during walking, running and bike riding.",X,0,X,0,8,3 M; 5 F,1,3,5,,8,22-32 (mean = 26.5),1,,,,UK,X,X,"single channel, two electrode ECG recorded using actiwave",X,,,,cardiovascular
Visceral adipose tissue measurements during pregnancy: Maternal visceral adipose tissue measurements collected as part of a cohort study of 154 pregnant women.,X,0,58 not white,1,133,F,1,0,133,,133,Found in individual data files,1,,,,Brazil,"Porto Alegre, Oct 2016-Dec 2017",Pregnancy,,X,,,,clinical
"CAST RR Interval Sub-Study Database: Data from the Cardiac Arrhythmia Suppression Trial (CAST), a study designed to test the hypothesis that suppression of ventricular premature complexes would improve survival.",628 White; 141 non-white,1,X,0,"-734 patients, of whom 69 died during the study period;                       -database also includes data from 75 additional subjects for whom only one acceptable recording was available but who satisfied the other selection criteria",-632 males; 137 females,1,632,137,,769,60 ± 10 (males);      63 ± 8 (females)                 ,1,,,,USA,Washington State (University of Washington,"- CAST patients were post MI and had ≥ 6 ventricular premature complexes/h on pretreatment recordin;        -In original study, patients were randomly assigned to receive Encainide, Flecainide, and Moricizine;            -had usable pre-treatment and on-therapy recordings, based on data collected during the original CAST and CAST II studies
-received a randomly-assigned antiarrhythmic treatment that successfully reduced their PVC rates by at least 80% on the first attempt, and
-continued on that treatment.",X,X,-Frequency domain anlaysis of heartrate variability,,,cardiac_electrophysiology
"Cerebromicrovascular Disease in Elderly with Diabetes: Type 2 diabetes increases risk for cerebrovascular disease, cognitive and mobility decline in older people. This project evaluated relationship between diabetes, inflammation cerebrovascular reactivity and functional outcomes.","White (94), African American (21), Asian (1), Latino (3), Unknown/Other (3), ",1,X,0,120 patients (60 people had diabetes; 60 people in control group) (noted on PhysioNet);              147 patients (71 diabetic; 76 nondiabetic) (on PubMed publication),X,1,73,74,,147, 65.2 ± 8 years (publication)       aged 55 to 75 years)  (physionet),1,,65,,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","Exclusion criteria were type 1 diabetes; recent history of stroke or myocardial infarction; dementia; significant cardiac, renal, neurologic, and kidney disorders; claustrophobia; and magnetic resonance imaging (MRI)-incompatible implants.",3T GE HDx MRI scanner,X,"effects of type 2 diabetes mellitus (DM) on cerebral vasoregulation, perfusion and functional outcomes, measured by blood flow responses to hypocapnia and hypercapnia, Valsalva maneuver, head-up tilt, and sit-to-stand test.",,,multi_parameter
"Q-Pain: A Question Answering Dataset to Measure Social Bias in Pain Management: Q-Pain, a medical QA dataset designed to enable the substitution of multiple different racial and gender ""profiles"" for patients and to evaluate whether bias is present when deciding whether to prescribe pain medication or not.","Black, White, Asian, Hispanic (hypothetical)",1,X,0,80,40 M; 40 F (synthetic),1,40,40,,80,Synthetic dataset,1,,,,USA,X,,,,,,,synthetic
"Sleep-EDF Database: The sleep-edf database contains whole-night PolySomnoGraphic sleep recordings, containing EEG, EOG, chin EMG, and event markers.",Caucasian,1,X,0,22,X,1,7,15,,22,21-35,1,,,,Netherlands,X,,,,"horizontal EOG, FpzCz and PzOz EEG, each sampled at 100 Hz.",,,multi_parameter
"Sleep-EDF Database Expanded: The sleep-edf database contains 197 whole-night PolySomnoGraphic sleep recordings, containing EEG, EOG, chin EMG, and event markers. Some records also contain respiration and body temperature. Corres…",Caucasian,1,X,0,"153 sleep cassette, 22 participants/44 files for sleep telemetry","ST 7 M; 15 F
SC 71 M; 82 F",1,78,97,,175,"ST mean 40.18, SC mean 59 ",1,,,,Netherlands,X,,,X,"EEG, EOG, chin EMG, event markers, body temp, respiration",,,multi_parameter
Cerebral Vasoregulation in Diabetes: Diabetes is a risk factor for cerebral hypoperfustion and microvascular disease. This study assessed the effects of diabetic autonomic neuropathy with OH on cerebral vasoregulation.,White (43); African American (4); Asian (3),1,Non-Hispanic/Latino (49); Hispanic/Latino (2),1,86 (37 diabetic patients; 49 control),-22 Females; 29 males in GE-71 Data Summary excel,1,29,22,,51,55-75,1,,,,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)",, General Electric 3.0 Tesla VHI scanner (TCD and MRI); ,X,"-continuous measurements of cerebral blood flow using transcranial Doppler and MRI, heart rate, blood pressure, and respiratory parameters, balance, walking, laboratory and retinopathy measures.",,,multi_parameter
Cerebral Vasoregulation in Elderly with Stroke: Multimodal data from a large study investigating the effects of ischemic stroke on cerebral vasoregulation.,"White (37), Asian (1), American Indian (0), African American (5), Unknown (0)",1,Hispanic/Latino (1 patient eligible); rest were non-Hispanic/Latino,1,120 patients (60 suffered stroke; 60 control patients) (noted on Physionet)           110 patients (43 with chronic large vessel ischemic infarctions; 67 age-matched controls (Original Publication),46 males; 44 females,1,46,44,,90,Stroke: 	64.21 (±8.94)            Control: 64.48 (±8.07),1,,,,USA,"Boston, Massachusetts (Beth Israel Deaconess Medical Center)","Subjects with brain hemorrhage, diabetes mellitus, significant arrythmias, uncontrolled hypertension, morbid obesity, controls with carotid stenosis or cases with contralateral stenosis were excluded","3-D positioning probe holder (PMD150 Spencer Technologies, Inc., WA); 3-lead electrocardiogram (SpaceLab Medical, Issaquah, WA); Finapress device (Ohmeda Monitoring Systems, Englewood, CO); Capnomac Ultima",X,"-transcranial doppler of cerebral arteries, 24-h blood pressure numerics, high resolution waveforms (ECG, blood pressure, CO2 and respiration) during various movement tasks, 24-h ECG, EMG, and accelerometer recordings, and gait pressure recordings during a walking test",,,multi_parameter
"ECG Effects of Dofetilide, Moxifloxacin, Dofetilide+Mexiletine, Dofetilide+Lidocaine and Moxifloxacin+Diltiazem: ECG from 22 subjects for a study on response of hERG potassium channel blocking drugs with and without the addition of late sodium or calcium channel blocking drugs.","American Indian or Alaskan Native (195), Asian (209), Black or African American (1847), White (1957) (original raw data)",1,Hispanic/Latino (406); Non-Hispanic/Latino (3805),1,"22 in PhysioNet; however, original raw data had 4211 original extracted 10-second standard 12 lead ECG segments)",1706 female; 2504 male; 1 not specified (original raw data),1,2504,1706,,4210,26.47 (raw data),1,,,,USA,"West Bend, Wisconsin",healthy patients,"Mortara Surveyor system (Mortara, Milwaukee, WI)",X,continuous ECG recordings,,,cardiac_electrophysiology
"ECG Effects of Ranolazine, Dofetilide, Verapamil, and Quinidine: ECGs of 22 subjects for a study aimed at comparing the effects of QT prolonging drugs versus placebo on electrophysiological parameters.",African American (960); Asian (240); White (4032) (raw),1,Hispanic/Latino (241); Non-Hispanic/Latino (4991) (raw),1,22 stated in PhysoNet; howeverm Raw directory has  5232 original extracted 10-second standard 12 lead ECG segments,2592 females; 2640 males,1,2640,2592,,5232,26.97 (raw),1,,,,USA,"West Bend, Wisconsin","healthy patients; CRITERIA: without a history of heart disease or unexplained syncope or a family history of long QT syndrome; to be 18–35 years of age, weigh at least 50 kg, and have a body mass index of 18–27 kg/m2; and to be able to read and understand the informed consent.","2-lead ECG recorder (Surveyor, Mortara Instrument, Milwaukee, WI) using the Mason–Likar52 electrode configuration; Plasma drug concentration was determined using a validated liquid chromatography with tandem mass spectroscopy method by Frontage Laboratories (Exton, Philadelphia, PA).",X,multi-channel ECG recordings,,,cardiac_electrophysiology
eICU Collaborative Research Database Demo: An openly available subset of the eICU Collaborative Research Database.,"207 African Americans, 29 Asians, 1713 Caucasians, 12 Native Americans, 73 Unknown/Unreported, 34 not reported on datasheet, 106 Hispanics",1,Wrote Hispanics under Race instead of Ethnicity,1,"demo dataset contains data associated with (ICU) stays for over 2,521 unit stays selected from 20 of the larger hospitals in the eICU Collaborative Research Database; total number of patients were 2,175 ","867 females, 1303 males; 33 not reported on spreadsheet",1,1303,867,,2203,Minimum Age: 15;        Maximum Age: >89,1,,,,USA,ICUs across United States,X,Data is collected through the Philips eICU program (telehealth program),X,"multi-center database comprised of deidentified health data for over 200,000 admissions to ICUs across the United States between 2014-2015. The database includes vital sign measurements, care plan documentation, severity of illness measures, diagnosis information, and treatment information. ",,,clinical
